Date,Payee,Address,Amount,Account,Month,Cleaned Vendor,Category,Type
11/13/2024,Online  Xfer Transfer from SV x4317,,15,TD Bank 4317,2024-11,Internal Transfer,Transfers,Income
11/13/2024,Debit Card Purchase 11/09 11:47p #2969 VENMO*MARK STAFFORD8558124430NY 24315,,-10,Citi Checking 5060,2024-11,Venmo,Transfers,Expense
11/14/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-32.08,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/14/2024,Online  Xfer Transfer from SV x4317,,10,TD Bank 4317,2024-11,Internal Transfer,Transfers,Income
11/15/2024,Zelle Debit PAY ID:CTI3j1C1nknb ORG ID:TDP NAME:NATANEM ABEB,,-200,Citi Checking 5060,2024-11,Zelle (Sent),Transfers,Expense
11/15/2024,TD ZELLE RECEIVED 432000N083UL Zelle NATANEM ABEBE,,200,TD Bank 4317,2024-11,Zelle (Received),Income,Income
11/15/2024,Online  Xfer Transfer from SV x4317,,10,TD Bank 4317,2024-11,Internal Transfer,Transfers,Income
11/18/2024,Mobile Purchase Sign Based 11/14 03:27p #2969 PP*SPOTIFYUSAI 4029357733NY 24320,,-6.35,Citi Checking 5060,2024-11,Spotify,Subscriptions,Expense
11/18/2024,VISA DDA PUR AP 405523     APPLE CASH BALANCE ADD      877 233 8552  * CA,,-10,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/18/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-16.61,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/18/2024,TD ZELLE RECEIVED 432300A059PY Zelle BIRHANU GEBIREMES,,175,TD Bank 4317,2024-11,Zelle (Received),Income,Income
11/18/2024,VISA DDA PUR AP 401134     AFTERPAY                    185 x6014  * CA,,-17.66,TD Bank 4317,2024-11,Afterpay,Shopping,Expense
11/18/2024,VISA DDA PUR AP 469216     APPLE COM BILL              866 712 7753  * CA,,-21.59,TD Bank 4317,2024-11,Apple Subscriptions,Subscriptions,Expense
11/18/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-3,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/18/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-40,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/18/2024,DDA PURCHASE AP 0200       FASTRAC 0201 214 W BRI      OSWEGO        * NY,,-13,TD Bank 4317,2024-11,Fastrac,Groceries,Expense
11/18/2024,VISA DDA PUR AP 479338     MCDONALDS 22200             OSWEGO        * NY,,-11.53,TD Bank 4317,2024-11,McDonald's,Food & Dining,Expense
11/18/2024,VISA DDA PUR AP 443106     CHIPOTLE 1904               LIVERPOOL     * NY,,-13.77,TD Bank 4317,2024-11,Chipotle,Food & Dining,Expense
11/18/2024,VISA DDA PUR AP 449216     SXM SIRIUSXM COM ACCT       HTTPSWWW SIRI * NY,,-10.59,TD Bank 4317,2024-11,Sxm Siriusxm Com Acct       Httpswww Siri *,Other,Expense
11/19/2024,Debit Card Purchase 11/17 10:18p #2969 VENMO*LIAM JUDD8558124430NY 24323,,-40,Citi Checking 5060,2024-11,Venmo,Transfers,Expense
11/21/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-29,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/22/2024,VISA DDA PUR AP 494150     POPEYES 13945               OSWEGO        * NY,,-10.25,TD Bank 4317,2024-11,Popeyes,Food & Dining,Expense
11/22/2024,VISA DDA PUR AP 405523     APPLE CASH BALANCE ADD      877 233 8552  * CA,,-17,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/22/2024,VISA DDA PUR AP 405523     APPLE CASH BALANCE ADD      877 233 8552  * CA,,-10,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/25/2024,DDA PURCHASE AP x4917   BYRNE DAI 97 E BRIDGE       OSWEGO        * NY,,-15.7,TD Bank 4317,2024-11,Byrne Dairy,Food & Dining,Expense
11/25/2024,VISA TRANSFER 405523     APPLE CASH INST XFER        CUPERTINO     * CA,,19.7,TD Bank 4317,2024-11,Apple Cash (Received),Income,Income
11/25/2024,TD ZELLE RECEIVED 432900J0C0UJ Zelle ZWE AUNG,,30,TD Bank 4317,2024-11,Zelle (Received),Income,Income
11/25/2024,Zelle Debit PAY ID:CTIacPJfZgYn ORG ID:TDP NAME:NATANEM ABEB,,-100,Citi Checking 5060,2024-11,Zelle (Sent),Transfers,Expense
11/25/2024,TD ZELLE RECEIVED 432900B0LTIQ Zelle NATANEM ABEBE,,100,TD Bank 4317,2024-11,Zelle (Received),Income,Income
11/25/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-12.62,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/25/2024,FD SPTSBK CASINO VIATRUSTLY,,-9.84,TD Bank 4317,2024-11,FD Casino,Gambling,Expense
11/25/2024,FD SPTSBK CASINO VIATRUSTLY,,-5,TD Bank 4317,2024-11,FD Casino,Gambling,Expense
11/25/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-35,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/25/2024,VISA DDA PUR AP 403629     FANDUELSBKPRIMARY           x3015    * NJ,,-100,TD Bank 4317,2024-11,FanDuel,Gambling,Expense
11/25/2024,VISA DDA PUR AP 444500     DOMINOS 3425                OSWEGO        * NY,,-20.08,TD Bank 4317,2024-11,Domino's,Food & Dining,Expense
11/25/2024,DDA PURCHASE AP 0200       FASTRAC 0201 214 W BRI      OSWEGO        * NY,,-15,TD Bank 4317,2024-11,Fastrac,Groceries,Expense
11/25/2024,VISA DDA PUR AP 469216     SQ  5 POINTS WINE   LIQU    OSWEGO        * NY,,-5.11,TD Bank 4317,2024-11,5 Points Wine,Nightlife,Expense
11/25/2024,VISA DDA PUR AP 403629     FANDUELSBKPRIMARY           x3015    * NJ,,-10,TD Bank 4317,2024-11,FanDuel,Gambling,Expense
11/26/2024,Mobile Purchase Sign Based 11/24 08:18a #2969 D6763 Peacock 2B27E PremiumNew YorkNY 24,,-2.11,Citi Checking 5060,2024-11,Mobile Purchase Sign Based 11/24 08:18A ,Other,Expense
11/27/2024,Debit PIN Purchase BYRNE DAI 97 E BRIDGEOSWEGO NYUS05155,,-22.19,Citi Checking 5060,2024-11,Byrne Dairy,Food & Dining,Expense
11/27/2024,Debit PIN Purchase WM SUPERC Wal-Mart Sup OSWEGO NYUS05154,,-47.46,Citi Checking 5060,2024-11,Walmart,Groceries,Expense
11/27/2024,VISA DDA PUR AP 401134     AFTERPAY                    185 x6014  * CA,,-12.82,TD Bank 4317,2024-11,Afterpay,Shopping,Expense
11/27/2024,TD ZELLE RECEIVED 433200I0M5OR Zelle ZWE AUNG,,26,TD Bank 4317,2024-11,Zelle (Received),Income,Income
11/29/2024,VISA DDA PUR AP 405523     APPLE CASH BALANCE ADD      877 233 8552  * CA,,-10,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/29/2024,VISA DDA PUR AP 401134     AFTERPAY                    185 x6014  * CA,,-17.66,TD Bank 4317,2024-11,Afterpay,Shopping,Expense
11/29/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-4,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/29/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-21.03,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/29/2024,VISA DDA PUR AP 405523     APPLE CASH BALANCE ADD      877 233 8552  * CA,,-20,TD Bank 4317,2024-11,Apple Cash (Sent),Transfers,Expense
11/29/2024,Debit PIN Purchase BYRNE DAI 97 E BRIDGEOSWEGO NYUS05155,,-10.13,Citi Checking 5060,2024-11,Byrne Dairy,Food & Dining,Expense
11/29/2024,ACH Electronic Debit - PAYPAL INST XFER PLAYSTATION,,-19.07,Citi Checking 5060,2024-11,PlayStation,Subscriptions,Expense
12/02/2024,TD ZELLE RECEIVED 433600P01YXD Zelle NATANEM ABEBE,,40,TD Bank 4317,2024-12,Zelle (Received),Income,Income
12/02/2024,Debit Card Purchase 11/27 08:47p #2969 SQ *5 POINTS WINE & LI OswegoNY 24333,,-24.29,Citi Checking 5060,2024-12,5 Points Wine,Nightlife,Expense
12/02/2024,Zelle Debit PAY ID:CTIqNj7pHKo8 ORG ID:TDP NAME:NATANEM ABEB,,-40,Citi Checking 5060,2024-12,Zelle (Sent),Transfers,Expense
12/02/2024,Zelle Debit PAY ID:CTIxnF2qjny1 ORG ID:TDP NAME:NATANEM ABEB,,-50,Citi Checking 5060,2024-12,Zelle (Sent),Transfers,Expense
12/02/2024,TD ZELLE RECEIVED 433500C08ZGL Zelle ZWE AUNG,,12,TD Bank 4317,2024-12,Zelle (Received),Income,Income
12/02/2024,TD ZELLE RECEIVED 433600B0DLMB Zelle NATANEM ABEBE,,50,TD Bank 4317,2024-12,Zelle (Received),Income,Income
12/02/2024,TD ZELLE RECEIVED 433700N04431 Zelle BIRHANU GEBIREMES,,200,TD Bank 4317,2024-12,Zelle (Received),Income,Income
12/02/2024,VISA DDA PUR AP 405523     APPLE CASH BALANCE ADD      877 233 8552  * CA,,-12,TD Bank 4317,2024-12,Apple Cash (Sent),Transfers,Expense
12/02/2024,TD ZELLE RECEIVED 433500C09AAN Zelle ZWE AUNG,,5,TD Bank 4317,2024-12,Zelle (Received),Income,Income
12/03/2024,VISA DDA PUR AP 405523     APPLE CASH BALANCE ADD      877 233 8552  * CA,,-50,TD Bank 4317,2024-12,Apple Cash (Sent),Transfers,Expense
12/03/2024,VISA DDA PUR AP 405523     APPLE CASH BALANCE ADD      877 233 8552  * CA,,-40,TD Bank 4317,2024-12,Apple Cash (Sent),Transfers,Expense
12/03/2024,VISA DDA PUR AP 403629     FANDUELSBKPRIMARY           x3015    * NJ,,-5,TD Bank 4317,2024-12,FanDuel,Gambling,Expense
12/03/2024,Debit Card Purchase 11/30 07:09p #2969 DOMINOS 3425 OSWEGONY 24337,,-18.33,Citi Checking 5060,2024-12,Domino's,Food & Dining,Expense
12/04/2024,Debit Card Purchase 12/02 12:59a #2969 BYRNE DAIRY 10 OSWEGONY 24338,,-16.4,Citi Checking 5060,2024-12,Byrne Dairy,Food & Dining,Expense
12/05/2024,VISA DDA PUR AP 403629     FANDUELSBKPRIMARY           x3015    * NJ,,-5,TD Bank 4317,2024-12,FanDuel,Gambling,Expense
12/05/2024,VISA DDA PUR AP 443106     CHIPOTLE 2689               CAMILLUS      * NY,,-11.07,TD Bank 4317,2024-12,Chipotle,Food & Dining,Expense
12/05/2024,Monthly Service Fee,,-5,Citi Checking 5060,2024-12,Monthly Fee,Bank Fees,Expense
12/06/2024,ACH Electronic Credit ONE KARE ENTERPR PAYROLL,,44.18,Citi Checking 5060,2024-12,Payroll,Income,Income
12/06/2024,DDA TR NSFR TRANSFER TO SAVINGS ACCT     x4317,,-50,TD Bank 4317,2024-12,Transfer to Savings,Transfers,Expense
12/09/2024,ACH Electronic Debit - PAYPAL INST XFER PLAYSTATION,,-6.35,Citi Checking 5060,2024-12,PlayStation,Subscriptions,Expense
12/09/2024,VISA DDA PUR AP 469216     APPLE COM BILL              866 712 7753  * CA,,-2.99,TD Bank 4317,2024-12,Apple Subscriptions,Subscriptions,Expense
12/09/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-25.57,TD Bank 4317,2024-12,Apple Cash (Sent),Transfers,Expense
12/09/2024,VISA DDA PUR AP 403629     FANDUELSBKPRIMARY           x3015    * NJ,,-5,TD Bank 4317,2024-12,FanDuel,Gambling,Expense
12/11/2024,Mobile Deposit,,132.65,Citi Checking 5060,2024-12,Mobile Deposit,Income,Income
12/11/2024,Mobile Deposit,,242.95,Citi Checking 5060,2024-12,Mobile Deposit,Income,Income
12/13/2024,Zelle Debit PAY ID:CTIMctjhWd1j ORG ID:JPM NAME:MIN MAW,,-5,Citi Checking 5060,2024-12,Zelle (Sent),Transfers,Expense
12/13/2024,Zelle Debit PAY ID:CTIgajwvxe5d ORG ID:JPM NAME:MIO MAHONEY,,-65,Citi Checking 5060,2024-12,Zelle (Sent),Transfers,Expense
12/16/2024,Debit PIN Purchase Smoker's Choice 47 OSWEGO NYUS07159,,-5.17,Citi Checking 5060,2024-12,Smoke Shop,Tobacco,Expense
12/16/2024,Debit PIN Purchase Smoker's Choice 47 OSWEGO NYUS07159,,-6.57,Citi Checking 5060,2024-12,Smoke Shop,Tobacco,Expense
12/16/2024,TD ZELLE RECEIVED 435100D09UD2 Zelle AMSALE BELETE,,100,TD Bank 4317,2024-12,Zelle (Received),Income,Income
12/16/2024,VISA DDA PUR AP 402762     PP SPOTIFYUSAI              402 935 7733  * NY,,-6.35,TD Bank 4317,2024-12,Spotify,Subscriptions,Expense
12/16/2024,VISA DDA PUR AP 403629     FANDUELSBKPRIMARY           x3015    * NJ,,-10,TD Bank 4317,2024-12,FanDuel,Gambling,Expense
12/16/2024,VISA DDA PUR AP 469216     APPLE COM BILL              866 712 7753  * CA,,-21.59,TD Bank 4317,2024-12,Apple Subscriptions,Subscriptions,Expense
12/16/2024,VISA DDA PUR AP 403629     FANDUELSBKPRIMARY           x3015    * NJ,,-5,TD Bank 4317,2024-12,FanDuel,Gambling,Expense
12/17/2024,Debit Card Purchase 12/13 02:20a #2969 VENMO*KARSEN DEPASQU 8558124430NY 24349,,-40,Citi Checking 5060,2024-12,Venmo,Transfers,Expense
12/17/2024,Debit Card Purchase 12/15 06:02p #2969 DOMINOS 3425 OSWEGONY 24351,,-18.33,Citi Checking 5060,2024-12,Domino's,Food & Dining,Expense
12/17/2024,Debit PIN Purchase FULTON CITGO FULTON NYUS07155,,-8.86,Citi Checking 5060,2024-12,Fulton Citgo Fulton Nyus07155,Other,Expense
12/17/2024,Debit PIN Purchase 7-ELEVEN Philadelphia PAUS07155,,-3.01,Citi Checking 5060,2024-12,7-Eleven,Groceries,Expense
12/18/2024,VISA DDA PUR AP 449216     SXM SIRIUSXM COM ACCT       HTTPSWWW SIRI * NY,,-10.59,TD Bank 4317,2024-12,Sxm Siriusxm Com Acct       Httpswww Siri *,Other,Expense
12/18/2024,Debit PIN Purchase NYANMAR THAI FOODCATONSVILLEMDUS05158,,-51.14,Citi Checking 5060,2024-12,Nyanmar Thai Foodcatonsvillemdus05158,Other,Expense
12/20/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-8.14,TD Bank 4317,2024-12,Apple Cash (Sent),Transfers,Expense
12/20/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-25,TD Bank 4317,2024-12,Apple Cash (Sent),Transfers,Expense
12/24/2024,VISA TRANSFER 405523     APPLE CASH INST XFER        CUPERTINO     * CA,,24.62,TD Bank 4317,2024-12,Apple Cash (Received),Income,Income
12/24/2024,FD SPTSBK CASINO VIATRUSTLY,,-25,TD Bank 4317,2024-12,FD Casino,Gambling,Expense
12/24/2024,VISA DDA PUR AP 403629     FANDUELSBKPRIMARY           x3015    * NJ,,-10,TD Bank 4317,2024-12,FanDuel,Gambling,Expense
12/26/2024,TD ZELLE RECEIVED 436100L0E0S2 Zelle BIRHANU GEBIREMES,,100,TD Bank 4317,2024-12,Zelle (Received),Income,Income
12/26/2024,VISA DDA PUR AP 405523     APPLE CASH BALANCE ADD      877 233 8552  * CA,,-25,TD Bank 4317,2024-12,Apple Cash (Sent),Transfers,Expense
12/26/2024,FD SPTSBK CASINO VIATRUSTLY,,-25,TD Bank 4317,2024-12,FD Casino,Gambling,Expense
12/27/2024,Mobile Purchase Sign Based 12/24 08:11a #2969 D6763 Peacock X8422 PremiumNew YorkNY 24,,-2.11,Citi Checking 5060,2024-12,Mobile Purchase Sign Based 12/24 08:11A ,Other,Expense
12/30/2024,VISA DDA PUR AP 405936     CASH APP NATANEM A ADD C    OAKLAND       * CA,,-5,TD Bank 4317,2024-12,Cash App,Shopping,Expense
12/30/2024,VISA DDA PUR AP 479338     MCDONALDS 6449              WASHINGTON    * DC,,-10.44,TD Bank 4317,2024-12,McDonald's,Food & Dining,Expense
12/30/2024,VISA DDA PUR AP 402762     PAYPAL  PLAYSTATION         402 935 7733  * CA,,-10.59,TD Bank 4317,2024-12,PlayStation,Subscriptions,Expense
12/30/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-10,TD Bank 4317,2024-12,Apple Cash (Sent),Transfers,Expense
12/30/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-40,TD Bank 4317,2024-12,Apple Cash (Sent),Transfers,Expense
12/31/2024,VISA DDA PUR AP 479338     MCDONALDS 6449              WASHINGTON    * DC,,-14.15,TD Bank 4317,2024-12,McDonald's,Food & Dining,Expense
12/31/2024,VISA DDA PUR AP 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,-10,TD Bank 4317,2024-12,Apple Cash (Sent),Transfers,Expense
12/31/2024,VISA DDA PUR AP 479338     MCDONALDS 6449              WASHINGTON    * DC,,-12.63,TD Bank 4317,2024-12,McDonald's,Food & Dining,Expense
01/03/2025,TD ZELLE RECEIVED 500300B068RJ Zelle BIRHANU GEBIREMES,,100,TD Bank 4317,2025-01,Zelle (Received),Income,Income
01/06/2025,Monthly Service Fee,,-5,Citi Checking 5060,2025-01,Monthly Fee,Bank Fees,Expense
01/06/2025,VISA DDA REF 405523     APPLE CASH SENT MONEY       1INFINITELOOP * CA,,10,TD Bank 4317,2025-01,Apple Cash (Sent),Transfers,Income
01/06/2025,DDA TR NSFR TRANSFER TO SAVINGS ACCT     x4317,,-50,TD Bank 4317,2025-01,Transfer to Savings,Transfers,Expense
01/07/2025,VISA DDA PUR AP 469216     APPLE COM BILL              866 712 7753  * CA,,-2.99,TD Bank 4317,2025-01,Apple Subscriptions,Subscriptions,Expense
01/08/2025,VISA DDA PUR AP 405936     CASH APP YEABU              OAKLAND       * CA,,-55,TD Bank 4317,2025-01,Cash App,Shopping,Expense
01/09/2025,ACH Electronic Debit - DRAFTKINGS INTERNET AH76ERS5R5B33Y1,,-20,Citi Checking 5060,2025-01,DraftKings,Gambling,Expense
01/09/2025,VISA TRANSFER 405523     APPLE CASH INST XFER        CUPERTINO     * CA,,19.7,TD Bank 4317,2025-01,Apple Cash (Received),Income,Income
01/09/2025,VISA DDA PUR AP 444500     PRIZEPICKS                  404 567 6666  * GA,,-10,TD Bank 4317,2025-01,PrizePicks,Gambling,Expense
01/09/2025,VISA DDA PUR AP 403629     FANDUELSBKPRIMARY           x3015    * NJ,,-5,TD Bank 4317,2025-01,FanDuel,Gambling,Expense
01/10/2025,VISA DDA PUR AP 444500     PRIZEPICKS                  404 567 6666  * GA,,-20,TD Bank 4317,2025-01,PrizePicks,Gambling,Expense
01/10/2025,Instant Payment Credit Nuvei US 20250110042000314P1BOPFX01004830713 REMT N,,200,Citi Checking 5060,2025-01,Instant Payment Credit Nuvei Us,Income,Income
01/13/2025,TD ZELLE RECEIVED 501200N0970K Zelle AMSALE BELETE,,50,TD Bank 4317,2025-01,Zelle (Received),Income,Income
01/13/2025,Online  Xfer Transfer from SV x4317,,50,TD Bank 4317,2025-01,Internal Transfer,Transfers,Income
01/13/2025,TD ZELLE RECEIVED 501100K0EQW6 Zelle NATANEM ABEBE,,100,TD Bank 4317,2025-01,Zelle (Received),Income,Income
01/13/2025,TD ZELLE SENT REFUND 501300E0BF90 Zelle,,100,TD Bank 4317,2025-01,Zelle (Sent),Transfers,Income
01/13/2025,TD ZELLE RECEIVED 501100L05YQ0 Zelle NATANEM ABEBE,,200,TD Bank 4317,2025-01,Zelle (Received),Income,Income
01/13/2025,VISA DDA PUR AP 403629     DRAFTKINGS                  x6744    * MA,,-250,TD Bank 4317,2025-01,DraftKings,Gambling,Expense
01/13/2025,TD ZELLE SENT 501200L095M5 Zelle NATANEM ABEBE,,-100,TD Bank 4317,2025-01,Zelle (Sent),Transfers,Expense
01/13/2025,TD ZELLE SENT 501300L0A76N Zelle NATANEM ABEBE,,-100,TD Bank 4317,2025-01,Zelle (Sent),Transfers,Expense
01/13/2025,TD ZELLE SENT 501300O0HNCB Zelle EJAAZ KEREM,,-50,TD Bank 4317,2025-01,Zelle (Sent),Transfers,Expense
01/13/2025,FANATICS SPTSBK VIATRUSTLY,,-50,TD Bank 4317,2025-01,Fanatics Sportsbook,Gambling,Expense
01/13/2025,ACH Electronic Debit - Fanatics SptsBkViaTrustly,,-50,Citi Checking 5060,2025-01,Fanatics Sportsbook,Gambling,Expense
01/13/2025,Zelle Credit PAY ID:BACo0gpp2glv ORG ID:BAC NAME:EJAAZ KEREM,,50,Citi Checking 5060,2025-01,Zelle (Received),Income,Income
01/13/2025,DEBIT CARD TRANSFER CREDIT APPLE CASH INST XFER CUPERTINOCAUS06265,,98.5,Citi Checking 5060,2025-01,Apple Cash (Received),Income,Income
01/13/2025,Zelle Debit PAY ID:CTIn5a5bkws6 ORG ID:TDP NAME:NATANEM ABEB,,-100,Citi Checking 5060,2025-01,Zelle (Sent),Transfers,Expense
01/13/2025,ACH Electronic Debit - DRAFTKINGS INTERNET AH76ERTA2M6DDI3,,-100,Citi Checking 5060,2025-01,DraftKings,Gambling,Expense
01/13/2025,ACH Electronic Debit - DRAFTKINGS INTERNET AH76ERTBGRXEGPS,,-100,Citi Checking 5060,2025-01,DraftKings,Gambling,Expense
01/13/2025,Zelle Debit PAY ID:CTICt1jprLqs ORG ID:TDP NAME:NATANEM ABEB,,-200,Citi Checking 5060,2025-01,Zelle (Sent),Transfers,Expense
01/13/2025,ACH Electronic Debit - DRAFTKINGS INTERNET AH76ERTA9Y3KUK0,,-48.86,Citi Checking 5060,2025-01,DraftKings,Gambling,Expense
01/14/2025,Returned Insufficient Funds - ACH Txn,,50,Citi Checking 5060,2025-01,NSF Fee,Bank Fees,Income
01/14/2025,Debit Card Purchase 01/11 09:21p #2969 DRAFTKINGS 6179866744MA 25012,,-20,Citi Checking 5060,2025-01,DraftKings,Gambling,Expense
01/14/2025,Debit Card Purchase 01/11 07:26p #2969 DRAFTKINGS 6179866744MA 25012,,-100,Citi Checking 5060,2025-01,DraftKings,Gambling,Expense
01/14/2025,Debit Card Purchase 01/11 08:38p #2969 DRAFTKINGS 6179866744MA 25012,,-100,Citi Checking 5060,2025-01,DraftKings,Gambling,Expense
01/14/2025,Debit Card Purchase 01/11 06:15p #2969 DRAFTKINGS 6179866744MA 25012,,-100,Citi Checking 5060,2025-01,DraftKings,Gambling,Expense
01/14/2025,Zelle Credit PAY ID:TDP01XTFF2ET ORG ID:TDP NAME:NATANEM ABEB,,100,Citi Checking 5060,2025-01,Zelle (Received),Income,Income
01/14/2025,Returned Insufficient Funds - ACH Txn,,100,Citi Checking 5060,2025-01,NSF Fee,Bank Fees,Income
01/14/2025,Mobile Purchase Sign Based 01/11 06:05p #2969 D8212 APPLE CASH BALANCE ADD 877-233-8552CA 25,,-100,Citi Checking 5060,2025-01,Apple Cash (Sent),Transfers,Expense
01/15/2025,TD ZELLE RECEIVED 501500A052X8 Zelle BIRHANU GEBIREMES,,400,TD Bank 4317,2025-01,Zelle (Received),Income,Income
01/15/2025,ACH Electronic Debit - Fanatics SptsBkRETRY PYMT,,-50,Citi Checking 5060,2025-01,Fanatics Sportsbook,Gambling,Expense
01/15/2025,SLEEPER - 702-99 INTERNET,,-10,TD Bank 4317,2025-01,Sleeper - 702-99 Internet,Other,Expense
01/15/2025,RTP RCVD Nuvei US-BETR,,250,TD Bank 4317,2025-01,Rtp Rcvd Nuvei Us-Betr,Income,Income
01/15/2025,BETR INTERNET,,-250,TD Bank 4317,2025-01,BETR Sportsbook,Gambling,Expense
01/16/2025,Debit Card Purchase 01/13 12:41p #2969 FANATICS SPORTSBOOK8007262648NY 25015,,-50,Citi Checking 5060,2025-01,Fanatics Sportsbook,Gambling,Expense
01/21/2025,TD ZELLE SENT 502000N05XH6 Zelle EJAAZ KEREM,,-100,TD Bank 4317,2025-01,Zelle (Sent),Transfers,Expense
01/21/2025,TD ZELLE RECEIVED 502100B0MB05 Zelle EJAAZ KEREM,,909,TD Bank 4317,2025-01,Zelle (Received),Income,Income
01/21/2025,DEBIT CARD TRANSFER CREDIT APPLE CASH INST XFER CUPERTINOCAUS06265,,98.5,Citi Checking 5060,2025-01,Apple Cash (Received),Income,Income
01/21/2025,TD ZELLE SENT 502100D0359E Zelle AMSALE BELETE,,-909,TD Bank 4317,2025-01,Zelle (Sent),Transfers,Expense
01/22/2025,DEBIT CARD TRANSFER CREDIT APPLE CASH INST XFER CUPERTINOCAUS06265,,78.8,Citi Checking 5060,2025-01,Apple Cash (Received),Income,Income
01/22/2025,ACH Electronic Debit - DRAFTKINGS RETRY PYMT AH76ERZTREZGJIK,,-100,Citi Checking 5060,2025-01,DraftKings,Gambling,Expense
01/22/2025,ACH Electronic Debit - DRAFTKINGS RETRY PYMT AH76ERZTREJHEMI,,-100,Citi Checking 5060,2025-01,DraftKings,Gambling,Expense
01/22/2025,Instant Payment Credit Fanatics Sportsbook Credit 20250122021214273P1BBK7X26918643552 REMT N,,259.1,Citi Checking 5060,2025-01,Fanatics Sportsbook,Gambling,Income
01/22/2025,TD ZELLE SENT 502100E08KRI Zelle EJAAZ KEREM,,-80,TD Bank 4317,2025-01,Zelle (Sent),Transfers,Expense
01/23/2025,ACH Electronic Debit - VENMOPAYMENT 1039797265758,,-10,Citi Checking 5060,2025-01,Venmo,Transfers,Expense
01/23/2025,Debit Card Purchase 01/20 11:15p #2969 FANATICS SPORTSBOOK800-2540320 NY 25022,,-100,Citi Checking 5060,2025-01,Fanatics Sportsbook,Gambling,Expense
01/23/2025,Instant Payment Credit Fanatics Sportsbook Credit 20250122021214273P1B4BFU73929554841 REMT N,,178,Citi Checking 5060,2025-01,Fanatics Sportsbook,Gambling,Income
01/24/2025,Debit Card Purchase 01/22 03:38p #2969 APPLE.COM/BILL 866-712-7753CA 25023,,-21.59,Citi Checking 5060,2025-01,Apple Subscriptions,Subscriptions,Expense
01/24/2025,Debit Card Purchase 01/21 11:36p #2969 FANATICS SPORTSBOOK800-2540320 NY 25023,,-80,Citi Checking 5060,2025-01,Fanatics Sportsbook,Gambling,Expense
01/24/2025,Mobile Purchase Sign Based 01/22 04:54p #2969 PP*P33719F15C4029357733NY 25023,,-6.35,Citi Checking 5060,2025-01,Mobile Purchase Sign Based 01/22 04:54P ,Other,Expense
01/27/2025,ACH Electronic Debit - VENMOPAYMENT 1039821386318,,-35,Citi Checking 5060,2025-01,Venmo,Transfers,Expense
01/27/2025,ACH Electronic Debit - VENMOPAYMENT 1039864295538,,-30,Citi Checking 5060,2025-01,Venmo,Transfers,Expense
01/27/2025,ACH Electronic Debit - VENMOPAYMENT 1039843587838,,-20,Citi Checking 5060,2025-01,Venmo,Transfers,Expense
01/27/2025,Debit PIN Purchase WM SUPERC Wal-Mart Sup OSWEGO NYUS05154,,-12.16,Citi Checking 5060,2025-01,Walmart,Groceries,Expense
01/27/2025,Debit PIN Purchase WM SUPERC Wal-Mart Sup OSWEGO NYUS05154,,-1.6,Citi Checking 5060,2025-01,Walmart,Groceries,Expense
01/27/2025,TD ZELLE RECEIVED 502600C04PXC Zelle EJAAZ KEREM,,13,TD Bank 4317,2025-01,Zelle (Received),Income,Income
